episode,timestep,return
550,39840,281.72551474429537
551,39933,268.571190361215
552,40038,285.1120776738416
553,40085,-8.79754741952274
554,40188,284.3721960928051
555,40285,274.1006737889256
556,40375,236.0118745273268
557,40475,278.39908028884594
558,40600,312.11370341450635
559,40716,300.8640370805736
560,40813,275.1039874951387
561,40925,295.5392721850233
562,41036,292.19139305151356
563,41152,299.30513188961794
564,41248,272.1048637351036
565,41334,257.88974437272196
566,41431,273.79779396000276
567,41537,284.77598662289273
568,41647,292.4490599773963
569,41743,273.5206671989679
570,41855,293.26852217077385
571,42004,344.1582031618575
572,42090,259.4779581062282
573,42177,262.0125756505561
574,42281,283.39211597731105
575,42380,274.0718943074374
576,42495,298.186542408113
577,42526,-51.392308454256224
578,42635,290.772405095998
579,42746,292.2461085834381
580,42774,-25.291547430669436
581,42880,287.2850375419085
582,42995,297.22261763433295
583,43097,279.0878735913832
584,43228,318.44870696780083
585,43348,304.8004071042711
586,43463,298.47072588201667
587,43578,298.60505342378394
588,43643,-63.11300016737755
589,43791,339.6075508782283
590,43906,299.2304920471058
591,44022,298.64885906220496
592,44149,315.25385656314955
593,44270,307.16970237279753
594,44355,253.43114515947622
595,44480,312.13370376676994
596,44600,304.11403265445307
597,44731,318.84442893047975
598,44838,286.75017199453094
599,44966,314.9291061076646
600,45102,325.050579453319
601,45232,319.77801532659447
602,45352,304.2871780781501
603,45492,329.35036178692656
604,45626,321.76908230638105
605,45757,318.92058417223524
606,45889,318.95867438351956
607,46018,318.1238886281537
608,46140,308.7214210860076
609,46265,311.2442621326387
610,46406,333.02207089449433
611,46538,317.8748203701445
612,46664,323.4786648667431
613,46797,319.8724475818985
614,46931,322.9356073464868
615,47031,281.77429846212647
616,47187,352.11168372683034
617,47336,341.79292393415017
618,47479,334.3255756731276
619,47599,304.31853158052184
620,47752,346.6209417583742
621,47896,334.98918618883704
622,48025,318.1807781285817
623,48163,329.21575576690145
624,48281,308.26891791194737
625,48459,377.25513265929783
626,48594,325.73304485839327
627,48727,323.257183787679
628,48911,382.88343632335614
629,49021,290.2583630684705
630,49189,365.66726241404615
631,49322,320.2297084850329
632,49473,348.7747862113221
633,49598,310.5143879240603
634,49730,322.9304772638539
635,49869,331.80188350306923
636,50004,325.1261270261132
637,50143,331.1231790657552
638,50258,307.55908207514364
639,50394,329.00621875752154
640,50541,340.29464009358935
641,50670,315.98210101864146
642,50808,330.8244924981378
643,50947,333.15094294910904
644,51083,329.754094315438
645,51203,308.0746325140735
646,51338,326.1823223627287
647,51366,-47.51114165455508
648,51470,288.91708522099293
649,51604,327.4080007539529
650,51764,355.9492254950003
