timestep,mean_reward,std_reward,steps_to_1000_return,actor_loss,critic_loss,entropy
2731,198.15646891447216,157.74345193202015,,-16.25819206237793,1.1542927026748657,-1.5470714569091797
2834,202.37852833663445,156.4468420649174,,-10.573064804077148,1.14082670211792,-1.5470173358917236
2916,203.76970329937583,153.90197525264156,,-4.29276180267334,1.163019061088562,-1.5469398498535156
3008,206.5055949118238,152.0307820968483,,7.916923522949219,1.163818597793579,-1.5468720197677612
3206,210.82582357136783,151.41894781965726,,-32.74092483520508,1.1899384260177612,-1.546840786933899
3306,213.4392593654328,149.74290851319103,,-9.565381050109863,1.1496978998184204,-1.5467652082443237
3401,215.1178771763783,147.7620516532016,,-21.74347496032715,1.257169246673584,-1.546675443649292
3547,220.0934266431415,148.35231562755263,,-17.58112335205078,1.2102274894714355,-1.5465606451034546
3647,221.77294436521203,146.54522975193396,,-34.00226593017578,1.1949131488800049,-1.5464348793029785
3764,224.24725898142762,145.23512221183046,,-17.63735008239746,1.3196299076080322,-1.5462641716003418
3889,227.25010252234583,144.38756051917258,,-17.47930335998535,1.2708115577697754,-1.5460896492004395
4033,231.37822067658482,144.67091093232295,,-33.86322021484375,1.3074421882629395,-1.5459028482437134
4163,235.31814837711914,144.85471808806753,,-27.544448852539062,1.2869082689285278,-1.5456887483596802
4272,237.35970158961655,143.59967534720633,,-38.105464935302734,1.2565808296203613,-1.5454466342926025
4390,239.03347606421596,142.23213290162,,-20.600130081176758,1.2852407693862915,-1.545156478881836
4530,241.86375282773702,141.6924224401811,,-8.965958595275879,1.2352888584136963,-1.5448675155639648
4640,242.9430699744272,140.20973025413244,,-6.734783172607422,1.2405375242233276,-1.5445940494537354
4728,243.45132152892714,138.64734404360138,,-18.437837600708008,1.1952403783798218,-1.544339656829834
4833,244.69977857364844,137.3480494979693,,-16.62501335144043,1.2628775835037231,-1.5440673828125
5017,249.49004545538114,139.59580480745376,,-13.029407501220703,1.2973146438598633,-1.5437965393066406
5166,252.2077778100847,139.32742414740335,,-45.69684600830078,1.354477882385254,-1.5435482263565063
5363,241.41631440864555,156.46446494786818,,-19.40218162536621,1.5378211736679077,-1.5432884693145752
5517,233.15994144035162,165.0865326382619,,-31.430004119873047,1.5060553550720215,-1.543038249015808
5894,230.3326123495289,164.6213464073121,,-67.32725524902344,1.4822111129760742,-1.5427757501602173
6139,235.47519404627113,167.00634355935705,,-79.7547607421875,1.25984525680542,-1.5425012111663818
6319,227.30662270015202,175.37888860896007,,-40.859561920166016,1.6118700504302979,-1.5421760082244873
