timestep,mean_reward,std_reward,steps_to_1000_return
1496,6.7251770458255375,2.8694473118257453,
1511,6.782245787727555,2.9158193232055063,
1523,6.805734079538144,2.912440894852024,
1535,6.794194872654968,2.90152944946019,
1547,6.817839201516438,2.898840259997526,
1561,6.849774199979813,2.905125217280824,
1574,6.859961357849181,2.8941176502312524,
1588,6.882744633425292,2.8913544422420836,
1603,6.9335823771951395,2.928932159772053,
1617,6.958288288871195,2.9280762032239496,
1630,6.986798363732947,2.9314150932029874,
1643,7.013395079388708,2.9328833995175474,
1656,7.027063933175796,2.924169690236187,
1669,7.057735578366563,2.9308568131957085,
1684,7.095443713343089,2.9474642472345245,
1701,7.13682461608439,2.970056074475184,
1715,7.161912857821691,2.970704916512424,
1732,7.214732690172035,3.0155780627628377,
1746,7.230437142403879,3.008439818412173,
1761,7.25892885803806,3.0131320771735846,
1775,7.274069834305943,3.005921785856434,
1789,7.279500917475373,2.994684653704733,
1803,7.320353027479033,3.018281342505831,
1817,7.331243006093368,3.009083193280409,
1833,7.366637589505008,3.0243245872256095,
1848,7.392159722066309,3.0267800715393465,
1862,7.413976629008696,3.025614998198164,
1880,7.453051927220127,3.0474685340570544,
1898,7.500407748813859,3.0848047483416594,
1917,7.583122721441163,3.219057009938224,
1931,7.5997990729400895,3.2130480916351662,
1947,7.64304294407386,3.2407787845103178,
1963,7.699131742538856,3.295077631167865,
1975,7.702038479159398,3.2833810012864553,
1990,7.721392932321393,3.279581568548406,
2006,7.759817818787222,3.2994060204433127,
2024,7.829050122900917,3.3889889841140057,
2039,7.85226977369906,3.3884346734924002,
2054,7.872258897299768,3.3850989312296416,
2069,7.902033191355953,3.3922743329752416,
2084,7.923834669079551,3.3908148913256486,
2100,7.945131904068536,3.3890458879702616,
2113,7.9660211984749605,3.3870594494629067,
2129,7.985795908250557,3.384235669523332,
2145,8.022972765720253,3.4033267671591387,
2160,8.041972333738064,3.400010947398074,
2175,8.066703584099674,3.4024077015411787,
2189,8.089868471546072,3.4032749801751514,
2205,8.116733501588424,3.4084447541151284,
2225,8.180051007034642,3.4871114776333574,
2241,8.227078748479117,3.524882607243425,
2256,8.241924715093823,3.5185282978817223,
2273,8.285147738536832,3.548943330389923,
2289,8.320552719021277,3.565647196686139,
2304,8.33091682276924,3.556888719155937,
2320,8.36326732496252,3.5693592812582207,
2335,8.377556762656063,3.562942037950999,
2351,8.412173369835237,3.579217986118274,
2364,8.419279475736527,3.5694422138919095,
2380,8.45627727956148,3.5900124488896847,
2401,8.514939092176295,3.657642553733297,
2423,8.587567685449367,3.7648206678966076,
2439,8.611883916525409,3.766729346332246,
2456,8.645507928911485,3.7807713887243604,
2477,8.697760589166373,3.8303493469328487,
2494,8.720541285399522,3.8306658232399617,
2511,8.75204409554911,3.8416652271075082,
2527,8.788226029767245,3.8598256257364887,
